№;ФИО;Номер телефона;Количество минут, оплаченных абонентом;Количество минут, которые наговорил абонент;Стоимость дополнительной минуты;Адрес;Сумма, оплаченная за дополнительные минуты
6958;Владимир Харитонович Лыткин;8 593 885 4008;175;316;49;д. Тюмень, бул. Элеваторный, д. 912, 366338;6909
6959;Нинель Тарасовна Мамонтова;8 (868) 494-2406;74;529;39;к. Игнашино, пер. Байкальский, д. 2/4 к. 38, 148520;17745
6960;Некрасова Александра Никифоровна;8 (934) 064-73-36;409;273;10;к. Балтийск, наб. Гончарова, д. 4/7 стр. 58, 670027;0
6961;Ершов Валентин Артемьевич;8 (529) 324-4921;197;515;2;д. Тайшет, пер. Подлесный, д. 8/7, 721100;636
6962;Абрамов Чеслав Власович;+7 (500) 423-7142;199;213;25;д. Кежма, ш. Тополиное, д. 12 к. 6/2, 478726;350
6963;Валерия Алексеевна Зыкова;+7 763 290 7422;429;562;21;ст. Челябинск, пр. Коммунистический, д. 382 к. 4/7, 780113;2793
6964;Лаврентий Антонович Сысоев;8 726 199 3427;329;538;12;д. Чита, пер. Луначарского, д. 7, 418431;2508
6965;Виноградова Анжелика Вячеславовна;+7 (847) 286-7559;153;350;45;клх Онега, наб. Депутатская, д. 5/1 стр. 839, 239559;8865
6966;Суханова Людмила Григорьевна;8 466 104 9730;204;215;23;с. Киржач, ул. Громова, д. 711 к. 348, 926450;253
6967;Власова Акулина Архиповна;8 684 037 3618;453;508;26;г. Кузнецк, алл. Ключевая, д. 8 к. 7/6, 116457;1430
6968;Попова Нина Юльевна;8 (590) 379-3268;425;262;15;д. Оленек, бул. Курчатова, д. 58 к. 6, 339001;0
6969;Федосеев Сергей Арсеньевич;8 (255) 093-8308;98;426;40;г. Кострома, наб. Тимирязева, д. 111 к. 1/6, 041212;13120
6970;Кулакова Ираида Константиновна;+7 795 828 6060;497;361;31;клх Сергиев Посад, ул. Партизанская, д. 81, 367565;0
6971;Копылов Казимир Тихонович;8 452 485 6117;489;498;18;п. Майкоп, наб. Коммунальная, д. 72 стр. 21, 379946;162
6972;Дмитрий Григорьевич Ковалев;83464165257;91;498;16;с. Пушкинские Горы, пр. Свердлова, д. 683 стр. 334, 368068;6512
6973;Захарова София Тимуровна;+7 (838) 273-61-77;392;167;12;д. Оленегорск (Якут.), наб. Добролюбова, д. 2/8, 126726;0
6974;Никон Артемьевич Копылов;+7 198 537 01 19;466;3;26;г. Рыльск, пер. Кочубея, д. 8, 635790;0
6975;тов. Анисимов Эммануил Владиленович;+7 152 206 2084;119;367;28;п. Саянск, ул. Севастопольская, д. 252 стр. 5, 187456;6944
6976;Харитон Даниилович Комиссаров;8 (605) 641-98-14;272;349;5;клх Орел, пр. Веселый, д. 282 стр. 6, 824906;385
6977;Тарасова Ульяна Вениаминовна;8 (871) 133-90-51;450;16;40;ст. Тимашевск, бул. Тракторный, д. 617, 969041;0
6978;Дроздова Нинель Павловна;82470840629;421;298;14;ст. Чебоксары, алл. Смирнова, д. 6/5, 484744;0
6979;Пелагея Ефимовна Федорова;+7 567 076 77 67;342;5;24;с. Белокуриха, бул. Целинный, д. 8/2 стр. 50, 676893;0
6980;Прокофий Александрович Калинин;+7 (455) 289-6128;9;83;3;клх Териберка, наб. Осенняя, д. 60 стр. 87, 898420;222
6981;Игорь Архипович Дмитриев;+7 (649) 840-3093;442;553;43;п. Усть-Илимск, ул. Маркса Карла, д. 5, 055513;4773
6982;Елена Захаровна Федосеева;+7 667 618 78 58;129;88;40;д. Верхний Баскунчак, пр. Энергетический, д. 8 к. 703, 995705;0
6983;Гущин Варфоломей Устинович;+7 (688) 263-9276;22;589;15;г. Ряжск, ул. Тенистая, д. 350 стр. 1, 714360;8505
6984;Селезнева Тамара Кузьминична;8 (766) 130-05-66;51;468;37;ст. Тимашевск, наб. Мостовая, д. 9 стр. 7/3, 525617;15429
6985;Корнилов Фадей Фёдорович;8 892 504 87 71;335;378;20;с. Бомнак, ш. Набережное, д. 6/7 к. 3/4, 980408;860
6986;Лазарева Наталья Тимуровна;+7 (766) 002-62-03;247;76;47;с. Тихорецк, пер. Бабушкина, д. 546 стр. 9/8, 992206;0
6987;Молчанов Амвросий Архипович;83507028447;4;248;43;д. Середниково, алл. Грибоедова, д. 4/7 стр. 10, 685894;10492
6988;Марфа Юльевна Носкова;+7 690 984 15 54;249;9;34;д. Шилка, ш. Разина, д. 8, 147671;0
6989;Сергей Ануфриевич Ковалев;+7 295 957 5485;190;362;40;п. Великие Луки, алл. Разина, д. 6/4 стр. 8, 253945;6880
6990;Ширяева Варвара Егоровна;+7 (175) 186-04-89;259;315;39;д. Губкин, наб. Вольная, д. 4 стр. 9/7, 354266;2184
6991;Фомин Фома Исидорович;+7 224 998 6266;382;491;35;клх Кузнецк, ул. Дзержинского, д. 573 стр. 45, 180314;3815
6992;Вениамин Венедиктович Носков;8 (376) 479-5284;248;422;47;д. Темрюк, пр. Пионерский, д. 2 к. 8, 295438;8178
6993;Лора Матвеевна Крюкова;8 (832) 637-40-35;454;436;41;д. Усть-Камчатск, наб. Проезжая, д. 91 к. 856, 377309;0
6994;Юлия Леоновна Блохина;+7 (765) 306-95-57;300;186;11;клх Канск, пер. 1 Мая, д. 9, 431277;0
6995;Алина Ниловна Антонова;+7 (284) 807-47-04;166;156;21;с. Королев, ш. Орджоникидзе, д. 2/5 стр. 1/6, 263580;0
6996;Козлова Зинаида Богдановна;+7 (229) 234-9928;233;54;47;ст. Вологда, пр. Макарова, д. 3/5, 065302;0
6997;Тит Юльевич Овчинников;+7 (672) 430-3292;461;330;21;п. Гаврилов-Ям, алл. Специалистов, д. 1 к. 8/4, 486843;0
6998;Эрнест Ярославович Кулаков;8 (974) 800-57-21;124;426;42;п. Александров, алл. Гоголя, д. 731 стр. 4, 960418;12684
6999;Носков Андроник Ильясович;8 835 397 9411;197;356;1;с. Курумкан, ул. ДОС, д. 587 стр. 5, 357335;159
7000;София Ниловна Брагина;8 437 972 5556;430;413;9;с. Красноселькуп, бул. 8 Марта, д. 82, 519869;0
7001;Антонина Никифоровна Антонова;+73825859107;132;558;21;п. Нурлат, бул. Механизаторов, д. 952 к. 137, 412006;8946
7002;Шилова Иванна Наумовна;8 (890) 146-8369;16;251;32;д. Алдан, пер. 9 мая, д. 4 стр. 40, 609139;7520
7003;Котов Дмитрий Арсенович;8 823 230 71 87;142;302;20;к. Соболево, пер. Гоголя, д. 180, 254820;3200
7004;Ксения Никифоровна Уварова;+7 211 899 24 43;393;93;18;п. Белореченск, бул. Гайдара, д. 5 к. 9/6, 947443;0
7005;Лидия Станиславовна Суханова;+7 (357) 487-6744;486;128;35;клх Кулунда, ул. Гражданская, д. 4 к. 4/5, 145429;0
7006;Милан Гавриилович Попов;8 845 731 21 55;333;152;41;г. Муром, наб. Озерная, д. 5 к. 15, 385703;0
7007;Таисия Яковлевна Кулакова;+7 914 737 3555;254;599;24;с. Апатиты, алл. ДОС, д. 5/5 к. 622, 562973;8280
7008;Татьяна Макаровна Русакова;8 535 483 92 26;336;528;23;клх Онега, пр. Прудный, д. 816 к. 703, 872774;4416
7009;Варвара Александровна Титова;8 223 025 7974;381;294;50;к. Суздаль, алл. Юности, д. 8 стр. 15, 434323;0
7010;Творимир Трофимович Орлов;+7 (972) 245-2681;295;460;2;д. Курильск, бул. Прудный, д. 56 к. 35, 628989;330
7011;Турова Нонна Болеславовна;8 197 918 09 82;307;477;21;ст. Талдом, пер. Цветочный, д. 481, 975745;3570
7012;Жукова Екатерина Ждановна;8 (881) 030-16-40;454;527;17;клх Ангарск, бул. Энгельса, д. 489, 673561;1241
7013;Борисов Селиван Трифонович;+7 (538) 648-84-57;6;590;31;ст. Беслан, ул. Базарная, д. 3/7 стр. 791, 418295;18104
7014;Наумова Евфросиния Кирилловна;8 (338) 363-94-85;136;462;36;к. Кабанск, бул. Окружной, д. 4/7 к. 501, 969139;11736
7015;Елена Геннадиевна Большакова;+7 (529) 282-13-83;178;75;22;с. Чехов, алл. Карла Маркса, д. 6 к. 6, 421596;0
7016;Гришин Нестор Афанасьевич;+7 (100) 923-4677;479;28;44;с. Нягань, пр. Пожарского, д. 420 к. 237, 630653;0
7017;Новикова Елена Павловна;+7 (231) 987-1196;124;91;16;с. Дзержинск, пер. Энергетиков, д. 54, 377388;0
7018;Полина Ниловна Дьячкова;+70366245001;262;533;44;д. Кулу, ш. Бабушкина, д. 5, 527131;11924
7019;Спиридон Якубович Блохин;+7 290 568 6152;180;98;21;г. Уренгой, ул. Слободская, д. 593 стр. 122, 441088;0
7020;Ерофей Георгиевич Жуков;+7 518 803 21 57;303;324;45;г. Минеральные Воды, пер. Главный, д. 3, 551865;945
7021;Власов Лонгин Тихонович;8 935 936 2353;132;71;8;д. Приозерск, ул. Монтажников, д. 85, 125921;0
7022;Соловьева Евпраксия Феликсовна;8 326 959 2004;19;391;19;г. Хужир, ул. Поперечная, д. 333, 680173;7068
7023;Анна Евгеньевна Егорова;8 (241) 468-4746;218;387;6;г. Архангельск, пр. Степной, д. 1/5 к. 6/9, 112037;1014
7024;Петухов Лазарь Федосьевич;+7 778 944 5720;16;295;20;г. Ардон, ул. Урожайная, д. 490 к. 7/8, 047178;5580
7025;Федорова Нина Захаровна;+7 778 213 33 57;363;102;23;с. Ижевск, бул. Рыбацкий, д. 298 к. 5, 907670;0
7026;Воронов Пантелеймон Феодосьевич;+71916319999;479;494;43;п. Курумкан, ш. Песчаное, д. 7/5 стр. 1/7, 640466;645
7027;Игнатов Софон Гертрудович;88064280758;76;480;4;п. Юрьев-Польский, алл. Театральная, д. 432 к. 3, 584709;1616
7028;Фокина Марфа Анатольевна;+74195893575;173;531;45;с. Сибай, ш. Урицкого, д. 6 стр. 1/6, 908607;16110
7029;Одинцова Агафья Харитоновна;+77720427879;438;410;31;к. Костомукша, алл. Привокзальная, д. 4/8 к. 316, 858264;0
7030;Лобанов Эрнст Глебович;8 000 761 7098;139;490;8;п. Краснокамск, бул. Донской, д. 993 стр. 97, 678923;2808
7031;Евсей Григорьевич Гурьев;+7 (135) 089-39-74;417;41;8;клх Нижнеудинск, алл. Р.Люксембург, д. 1 стр. 18, 688433;0
7032;Шубина Клавдия Владиславовна;+7 794 037 91 64;145;455;16;к. Киренск, наб. Урицкого, д. 1 к. 2/1, 291949;4960
7033;Евпраксия Богдановна Крюкова;+77627446718;416;432;43;с. Щелково, ул. Короткая, д. 3, 188944;688
7034;Корнил Фёдорович Шилов;8 944 476 47 78;416;192;29;д. Жигулевск, пер. Титова, д. 20, 820382;0
7035;Гурьев Пров Артёмович;+7 (076) 620-4701;166;220;31;клх Учалы, пер. Ударный, д. 7/9 к. 121, 355182;1674
7036;Гедеон Трофимович Цветков;+7 (944) 966-20-05;36;435;23;клх Шатой, бул. Жукова, д. 2/6 стр. 7, 074920;9177
7037;Ефимов Всеволод Ааронович;8 (775) 704-51-47;151;319;9;ст. Ялуторовск, пер. Победы, д. 198 к. 222, 316469;1512
7038;Селезнева Марина Борисовна;8 (890) 002-6870;96;326;39;клх Новороссийск, ул. Специалистов, д. 58 к. 9, 925176;8970
7039;Сила Федосьевич Жданов;8 795 063 35 83;307;224;8;клх Снежногорск (Мурм.), пер. Ярославский, д. 729, 599741;0
7040;Гусева Марфа Рубеновна;87235356639;53;556;30;к. Вилюйск, алл. Свердлова, д. 59 стр. 12, 227444;15090
7041;Руслан Матвеевич Субботин;+7 483 392 5173;103;133;12;ст. Арзамас, алл. З.Космодемьянской, д. 51 к. 19, 261217;360
7042;Тит Арсенович Ковалев;88143070609;224;159;25;ст. Калач-на-Дону, алл. Вахитова, д. 1/7, 748457;0
7043;Лора Леонидовна Турова;+71664628874;422;75;45;с. Рязань, бул. Есенина, д. 9/3, 911536;0
7044;Амос Чеславович Селиверстов;+7 406 152 47 08;246;325;3;с. Нарым, ш. Коминтерна, д. 1 стр. 5, 304020;237
7045;Павел Зиновьевич Рябов;+7 (190) 470-27-38;265;327;38;к. Сызрань, ш. Автомобилистов, д. 89 к. 212, 853894;2356
7046;Афиноген Геннадиевич Емельянов;8 025 074 3984;444;166;12;с. Ардон, пр. Жуковского, д. 54 стр. 6, 371345;0
7047;Степан Ярославович Гуляев;8 514 341 1102;276;495;28;клх Приморско-Ахтарск, пер. Прудный, д. 7/3, 582536;6132
7048;Белов Мина Владиленович;8 341 236 0685;234;11;5;д. Лотошино, наб. Севастопольская, д. 9/5 к. 1/3, 828199;0
7049;Ульяна Леонидовна Афанасьева;+7 255 676 2839;187;74;15;ст. Кировск (Мурм.), ш. Новосельское, д. 7 стр. 4, 033502;0
7050;Шестакова Октябрина Альбертовна;+7 630 574 7722;236;565;44;клх Троицко-Печорск, пер. Осипенко, д. 43 стр. 6, 578189;14476
7051;Комарова Ирина Андреевна;8 880 424 22 62;453;301;45;ст. Бодайбо, ул. Мусы Джалиля, д. 74 стр. 681, 032509;0
7052;Мясников Авксентий Изотович;+7 492 979 6040;192;391;27;клх Артем, пер. Ильича, д. 4/8 стр. 6/4, 858889;5373
7053;Корнилов Потап Артёмович;8 919 692 42 90;157;54;5;ст. Сасово, наб. Тепличная, д. 84, 573795;0
7054;Иларион Захарьевич Мясников;+7 (604) 746-17-92;442;414;6;д. Мончегорск, пер. Энгельса, д. 31 стр. 1/7, 025364;0
7055;Дроздов Ратмир Филимонович;+7 (833) 462-6984;433;92;48;к. Тамбей, пер. Осенний, д. 17 к. 21, 611231;0
7056;Яковлев Варлаам Ерофеевич;8 (404) 041-4907;472;65;49;к. Вилюйск, бул. Котовского, д. 55 стр. 9/7, 656175;0
7057;Ираида Архиповна Журавлева;8 (075) 714-82-63;255;475;43;д. Санкт-Петербург, пр. Автомобилистов, д. 835, 834956;9460
7058;Трофим Венедиктович Пестов;+7 (903) 121-40-88;371;442;29;клх Ачинск, пер. Крылова, д. 879, 693380;2059
7059;Оксана Петровна Логинова;+7 732 186 47 42;180;102;45;клх Лабинск, бул. Металлургов, д. 3, 033541;0
7060;Абрамов Исай Арсеньевич;8 904 425 1198;398;124;3;г. Бавлы, бул. Торговый, д. 7/2 к. 7/1, 710423;0
7061;Устин Бенедиктович Сафонов;+70977961308;408;85;23;п. Лысьва, алл. Глинки, д. 6/7 к. 7, 646936;0
7062;Гордеева Олимпиада Ильинична;+76228418441;241;134;13;с. Костомукша, ш. Сельское, д. 671, 496578;0
7063;Нонна Степановна Лихачева;8 (075) 722-0283;26;160;14;д. Якутск, пер. Калинина, д. 1 стр. 77, 077665;1876
7064;Агата Рубеновна Казакова;+7 (112) 774-3504;42;464;16;клх Красноселькуп, ул. Победы, д. 81, 684366;6752
7065;Никандр Давыдович Тихонов;8 486 193 4632;410;125;33;г. Пушкинские Горы, ул. Маркса Карла, д. 4, 545972;0
7066;Назар Измаилович Щукин;+7 (483) 130-6620;487;134;37;с. Калевала, алл. Студенческая, д. 3/9 стр. 230, 392176;0
7067;Нинель Святославовна Романова;8 631 942 7906;389;341;38;клх Усть-Катав, пр. Гаражный, д. 1 стр. 3, 443904;0
7068;Пимен Андреевич Дьячков;8 168 555 56 21;183;456;2;к. Ачинск, ул. Тимирязева, д. 8/5, 543727;546
7069;Агафонова Евфросиния Артемовна;+7 208 956 0130;257;89;1;п. Нерчинск, наб. Черняховского, д. 3/7 стр. 879, 370683;0
7070;Воронцова Синклитикия Робертовна;82027796539;348;599;22;с. Рыльск, ш. Портовое, д. 311 стр. 885, 136104;5522
7071;Терентий Давыдович Миронов;8 882 372 2404;409;532;20;клх Луга, алл. Павлика Морозова, д. 30 к. 2/7, 231581;2460
7072;Новикова Валерия Матвеевна;+7 850 110 91 31;480;588;37;с. Анива, алл. Трудовая, д. 8 к. 2, 392902;3996
7073;тов. Евдокимов Ерофей Елисеевич;8 865 158 4493;410;269;50;п. Тверь, ш. Морское, д. 467 к. 9/9, 940169;0
7074;Меркушев Самуил Ефстафьевич;8 509 637 66 56;415;415;46;к. Горно-Алтайск, ш. Петровское, д. 27 стр. 381, 634301;0
7075;Елисеев Аркадий Фёдорович;8 (978) 110-6067;5;209;48;д. Сибай, наб. Коллективная, д. 359, 255442;9792
7076;Аггей Венедиктович Ефремов;+76094252247;429;215;26;к. Новосибирск, пр. Ангарский, д. 3/4, 343752;0
7077;Илья Зиновьевич Сергеев;8 206 459 75 38;107;492;36;клх Сухиничи, ш. Индустриальное, д. 4/7 к. 812, 039511;13860
7078;Фаина Яковлевна Комиссарова;+75778551569;198;324;2;клх Уварово, ул. Клубная, д. 1 стр. 4/8, 220713;252
7079;Котова Мария Ивановна;+7 948 512 3896;176;587;5;с. Верхотурье, бул. Ломоносова, д. 911, 330560;2055
7080;Ангелина Даниловна Панфилова;86595725493;357;477;46;ст. Кизилюрт, алл. Цветочная, д. 531 к. 650, 947450;5520
7081;Макаров Прокл Афанасьевич;+77377847790;366;486;46;г. Ноябрьск, ш. Большое, д. 6 стр. 87, 422598;5520
7082;Севастьян Даниилович Евдокимов;8 (735) 840-15-13;301;355;1;клх Юровск, пр. Фадеева, д. 172 стр. 881, 903645;54
7083;г-жа Анисимова Анастасия Макаровна;+7 (567) 935-7289;147;161;27;п. Майкоп, наб. Флотская, д. 7 стр. 7, 950922;378
7084;Платон Феоктистович Макаров;+70166300243;281;473;28;с. Карачаевск, пр. 60 лет СССР, д. 8 стр. 5/3, 536269;5376
7085;Фёкла Руслановна Веселова;8 (441) 364-24-28;40;196;46;ст. Дмитров, ул. Песчаная, д. 2 стр. 67, 022603;7176
7086;Маркова Глафира Семеновна;8 539 523 9242;200;453;34;д. Каменск-Шахтинский, ш. Красногвардейское, д. 946, 035129;8602
7087;Нина Рубеновна Морозова;89304655555;374;216;5;с. Павловская, пер. Революционный, д. 5/5 к. 5, 548655;0
7088;г-жа Артемьева Екатерина Антоновна;+7 (360) 694-52-67;293;506;37;клх Кулунда, ул. Выгонная, д. 3/4 к. 389, 899186;7881
7089;Вишнякова Лидия Харитоновна;8 488 848 5889;81;33;3;к. Черкесск, бул. Гражданский, д. 9 к. 214, 204123;0
7090;Вероника Макаровна Меркушева;+71953132121;176;446;35;ст. Владивосток, пер. Заречный, д. 236 к. 2, 962134;9450
7091;Зиновий Викентьевич Сазонов;+79307988619;424;309;36;ст. Орел, пер. Слободской, д. 476 стр. 8, 767984;0
7092;Абрамова Ангелина Константиновна;8 (395) 442-88-79;148;211;2;г. Нижний Новгород, пр. Гражданский, д. 8 стр. 20, 741005;126
7093;Петрова Анжелика Рубеновна;8 (143) 688-89-35;21;334;29;к. Бугульма, пр. 60 лет Октября, д. 3 к. 6, 554047;9077
7094;Велимир Владленович Зиновьев;+74432116688;287;360;10;к. Черусти, наб. Сельская, д. 468 к. 6/7, 105517;730
7095;Волков Евлампий Денисович;85232307561;170;568;12;д. Раменское, бул. Курчатова, д. 970, 731024;4776
7096;Пелагея Никифоровна Петухова;8 411 867 1943;443;397;31;д. Батайск, ул. Баумана, д. 7 к. 84, 220845;0
7097;Соколова Ирина Робертовна;+70231815045;447;148;2;ст. Шуя, алл. Черняховского, д. 261 стр. 65, 919197;0
7098;Андроник Бенедиктович Белов;+7 (781) 850-95-17;452;57;27;с. Петрозаводск, алл. Астраханская, д. 45, 807503;0
7099;Русакова Агафья Романовна;8 668 757 58 19;447;13;15;к. Старый Оскол, пер. Вавилова, д. 5/2, 421312;0
7100;Марина Филипповна Воронова;+7 128 899 8832;309;310;20;ст. Уварово, наб. Специалистов, д. 1/1, 699900;20
7101;Ульяна Григорьевна Сорокина;+7 (880) 984-6995;452;529;45;д. Минусинск, ш. Черемушки, д. 456, 277700;3465
7102;Васильев Архип Александрович;8 935 361 37 70;298;536;45;г. Зеленоград, ш. Горького, д. 257 к. 31, 078950;10710
7103;Туров Януарий Елисеевич;8 821 552 33 06;358;502;20;д. Усть-Кут, ул. Мостовая, д. 6 к. 2/1, 039958;2880
7104;Андреев Дементий Харлампович;8 (003) 452-59-13;311;471;37;с. Далматово, наб. Краснознаменная, д. 31 стр. 8/4, 471416;5920
7105;Симонова Валерия Ниловна;+70362602582;263;68;8;д. Нижний Тагил, ш. Тельмана, д. 76 к. 2/1, 383626;0
7106;Сорокина Евфросиния Ивановна;+78675887371;325;147;12;с. Нефтеюганск, ул. Карьерная, д. 8/5 стр. 6, 022933;0
7107;Сазонова Ия Кузьминична;+74626432722;102;443;32;д. Гагарин, алл. Чайковского, д. 26 к. 7, 363961;10912
7108;Клавдий Августович Ковалев;+7 552 685 10 46;31;71;38;клх Петухово, алл. Хвойная, д. 267 стр. 8/3, 487879;1520
7109;Молчанов Поликарп Евстигнеевич;+7 (990) 831-7880;303;3;35;с. Кежма, алл. Тракторная, д. 69 стр. 1/3, 889671;0
7110;Силантий Дмитриевич Мартынов;8 238 897 1522;427;414;10;ст. Тулун, бул. Кольцевой, д. 9/8 к. 168, 239523;0
7111;Трофимова Людмила Альбертовна;8 871 553 77 86;262;220;43;клх Любань, пр. Коллективный, д. 3 к. 871, 863554;0
7112;Брагин Эдуард Валерианович;81478739191;9;195;27;клх Торжок, пер. Зеленый, д. 26 стр. 5, 561339;5022
7113;Субботин Савватий Юльевич;+7 (674) 357-6815;464;69;50;ст. Карабулак, наб. Шахтерская, д. 763 к. 52, 414518;0
7114;Марина Андреевна Андреева;+73019314975;86;549;30;клх Верхний Баскунчак, ул. Панфилова, д. 95, 632763;13890
7115;Олег Аксёнович Артемьев;8 637 880 9544;473;386;19;клх Дивногорск, бул. 8-е Марта, д. 337, 889055;0
7116;Анатолий Ефремович Калашников;8 576 691 5955;451;164;1;с. Омск, бул. Первомайский, д. 87 к. 2/2, 697593;0
7117;Мясников Чеслав Валентинович;+73595177740;2;126;14;ст. Киров (Вятка), ул. Портовая, д. 3/1 к. 4, 622278;1736
7118;Агафья Богдановна Галкина;+7 (199) 545-3849;380;75;3;к. Кажим, ул. Кошевого, д. 727, 549013;0
7119;Матвей Иларионович Шилов;8 (599) 087-5824;246;114;17;г. Дзержинск, ш. Чернышевского, д. 22 к. 77, 833867;0
7120;Зинаида Матвеевна Сорокина;8 (931) 460-0951;133;576;11;п. Листвянка (Иркут.), алл. Демьяна Бедного, д. 913 к. 4, 049042;4873
7121;Игнатьев Флорентин Арсенович;8 (469) 666-3380;339;259;2;п. Дудинка, ш. Герцена, д. 2/3 стр. 11, 406693;0
7122;Киселев Евстафий Витальевич;8 (773) 369-21-62;341;43;11;г. Каргополь, ш. 50 лет ВЛКСМ, д. 896 стр. 5, 029002;0
7123;Георгий Архипович Кудрявцев;+7 (572) 631-1890;80;375;8;с. Орехово-Зуево, пр. Автомобилистов, д. 1, 385419;2360
7124;Блохина Наина Эльдаровна;+7 979 696 24 16;61;325;13;к. Корсаков, ш. Черняховского, д. 52 к. 63, 444752;3432
7125;Глеб Гурьевич Никитин;+7 (691) 655-6895;306;361;18;клх Ельня, ш. Степана Разина, д. 531 стр. 3/4, 345478;990
7126;Прокофий Захарьевич Яковлев;8 (066) 135-8689;296;287;35;клх Дмитров, алл. Есенина, д. 191 к. 70, 587795;0
7127;Олимпиада Михайловна Копылова;8 284 303 59 27;313;363;44;с. Белогорск (Амур.), ул. Коминтерна, д. 1 стр. 81, 589998;2200
7128;Ермил Фёдорович Белозеров;89016481945;410;484;8;г. Амурск, пер. Мусы Джалиля, д. 9/6 к. 5, 619455;592
7129;Вера Оскаровна Сорокина;+7 (855) 305-0434;377;586;13;ст. Нефтекамск, бул. Карьерный, д. 317 к. 73, 331437;2717
7130;Брагина Лукия Геннадьевна;8 042 819 9079;137;518;38;п. Красновишерск, пр. Большевистский, д. 8/3 стр. 4/2, 527067;14478
7131;Громова Зинаида Степановна;8 364 245 7926;178;248;20;г. Чикола, пр. Морозова, д. 8/8 к. 639, 372303;1400
7132;Шарапова Юлия Павловна;8 (262) 520-24-80;417;428;29;г. Усть-Камчатск, пр. Союзный, д. 4, 537200;319
7133;Рогова Галина Эльдаровна;8 908 703 6326;492;589;28;к. Палана, наб. Машиностроителей, д. 70, 437840;2716
7134;Одинцова Агата Филипповна;+7 912 407 9931;405;64;21;ст. Данков, ул. Макарова, д. 212 к. 7, 597601;0
7135;Кудрявцева Евгения Юльевна;+7 (630) 867-75-52;53;584;19;клх Осташков, алл. Главная, д. 45 к. 6/3, 805372;10089
7136;Горшкова Александра Наумовна;+7 363 748 79 70;200;261;33;к. Ишим, ул. Ручейная, д. 16, 756871;2013
7137;Артемьев Ипат Филимонович;+7 730 530 5818;171;149;44;с. Междуреченский, ул. Горького, д. 7, 336174;0
7138;Ангелина Ниловна Борисова;8 702 124 05 88;411;139;42;к. Нязепетровск, ш. Ленинское, д. 494 к. 39, 796043;0
7139;Ирина Рубеновна Боброва;+7 388 230 95 31;152;290;36;д. Гаврилов-Ям, бул. Малый, д. 2/4, 555818;4968
7140;Юлиан Яковлевич Родионов;82401848078;381;289;19;к. Минеральные Воды, наб. Большая, д. 74 стр. 90, 425666;0
7141;Щукина Анжела Ивановна;+7 374 339 08 35;210;354;27;г. Астрахань, бул. Солнечный, д. 1, 780149;3888
7142;Пахом Евсеевич Сазонов;8 (881) 239-9201;78;31;24;клх Омск, бул. Песчаный, д. 925 стр. 690, 372557;0
7143;Куликов Пахом Демидович;8 (277) 604-08-36;372;513;19;д. Ногинск (Моск.), наб. Толбухина, д. 33 к. 60, 886908;2679
7144;Святополк Трофимович Казаков;8 264 791 65 49;322;569;30;клх Шали, наб. Юности, д. 4 стр. 8/3, 735078;7410
7145;Фомина Фаина Вениаминовна;8 951 391 9009;381;48;31;к. Кулу, ш. 70 лет Октября, д. 9 стр. 412, 557460;0
7146;Сергеев Исидор Антонович;+76197792724;43;559;25;г. Ребриха, ш. Подстанция, д. 3, 985939;12900
7147;Ситникова Алла Архиповна;87185735954;186;348;47;клх Новгород Великий, алл. Киевская, д. 506 к. 6/6, 534609;7614
7148;Трофим Измаилович Муравьев;+7 (189) 618-1012;457;402;24;с. Мокшан, пр. Лазурный, д. 6, 427721;0
7149;Евпраксия Вячеславовна Овчинникова;8 (739) 601-2609;83;355;12;с. Тайшет, ул. Орловская, д. 4/1 стр. 5, 018363;3264
7150;Татьяна Анатольевна Мельникова;80838367894;257;300;40;к. Тюмень, ул. Парковая, д. 9 к. 27, 347167;1720
7151;Дроздов Эраст Ааронович;+73313435604;163;127;25;клх Каргополь, ул. Болотная, д. 81 стр. 9/7, 993880;0
7152;Милица Руслановна Морозова;+7 (054) 111-7452;405;397;46;п. Пермь, ш. Малиновое, д. 937 к. 717, 405353;0
7153;Филиппов Варлаам Еремеевич;+7 904 108 6866;297;188;2;г. Вендинга, ул. Каштановая, д. 4 к. 2, 082029;0
7154;Фрол Авдеевич Назаров;8 550 111 0726;177;53;13;ст. Калачинск, бул. Волгоградский, д. 7/1, 605600;0
7155;Селезнева Лариса Рубеновна;+7 436 848 4655;48;39;20;к. Поярково, ш. Гагарина, д. 63, 389330;0
7156;Любовь Юльевна Александрова;8 (844) 953-42-59;65;7;17;г. Верхний Уфалей, алл. Театральная, д. 5/5 стр. 3/5, 400713;0
7157;Савина Евдокия Леонидовна;+75829411965;21;316;48;п. Барнаул, ул. Ореховая, д. 8/8, 891257;14160
7158;Вышеслав Филимонович Артемьев;8 693 083 72 66;381;185;28;д. Гатчина, ш. Кольцевое, д. 69 к. 8, 324435;0
7159;Карл Гордеевич Носков;82646368025;175;397;2;с. Сыктывкар, алл. Серафимовича, д. 71, 420109;444
7160;Ефимова Людмила Васильевна;8 812 223 09 53;304;377;14;д. Партизанск, пр. Запорожский, д. 4/2 стр. 328, 483174;1022
7161;Никитина Евгения Захаровна;8 662 176 0660;49;140;39;к. Белорецк, пер. 9 мая, д. 81 стр. 6/9, 375952;3549
7162;Тихонова Синклитикия Ефимовна;+7 (084) 160-98-09;432;26;35;п. Заводоуковск, ул. Мостовая, д. 64 к. 11, 900424;0
